"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11"
"Ridgewood","New York","NY","New York","Queens",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100,3100,3200,3200,3300,3375,3400,3385,3300,3300,3400,3300.5,3495,3387,3500,3550,3500,3550,3595,3497,3400,3400,3500,3600,3475,3595,3200,3387,3350,3324.5,3400,3400,3500,3595,3500,3400,3400
"Summerlin North","Las Vegas","NV","Las Vegas","Clark",14,,,,,1672.5,1850,1900,1875,1725,1850,1700,1900,1750,1672.5,1750,1662.5,1662.5,1700,1695,1775,1650,1600,1695,1600,1600,1600,1700,1737.5,1795,1800,1795,1795,1700,1750,1753,1700,1750,1650,1695,1699,1800,1775,1775,1775,1785,1795,1795,1850,1850,1800,1800,1800,1795,1800,1850,1795,1795,1795,1750,1795,1795,1795,1800,1825,1892.5,1972.5,1895,1900,1899,1862.5,1795,1772.5,1772.5,1850,1900,1995,1955,1995,1997,1900,1925,1850,1872.5
"Jamaica Plain","Boston","MA","Boston","Suffolk",15,,,,,,,,,,,,,,,,,,,,,,,,3000,3000,3000,3100,3000,3050,3100,3100,3200,3200,3000,3000,3200,3200,3100,3100,3100,3100,3200,3100,3000,2975,3000,3000,3200,3300,3300,3300,3300,3350,3200,3200,3200,3000,3000,3000,3300,3500,3500,3400,3400,3400,3400,3400,3400,3300,3000,3200,3300,3500,3500,3500,3600,3600,3600,3550,3400,3400,3400,3600
"Brighton","Boston","MA","Boston","Suffolk",16,2600,2600,2600,2600,2550,2500,2500,2500,2600,2600,2700,2700,2675,2650,2650,2700,2800,2750,2750,2682.5,2800,2800,2800,2800,2800,2900,2900,2900,3000,3100,3000,3000,3000,2974.5,2950,2950,2999,3000,3000,3125,3199,3100,3100,3199.5,3200,3199,3200,3200,3200,3100,3185,3200,3200,3100,3175,3150,3100,3050,3100,3200,3200,3200,3200,3300,3300,3300,3300,3200,3240,3200,3200,3200,3400,3400,3400,3400,3400,3400,3400,3400,3400,3375,3400
"South End","Boston","MA","Boston","Suffolk",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4700,5200,5200,5100,5200,5200,5000,5000,5000,5000,5000,5000
"North Dorchester","Boston","MA","Boston","Suffolk",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,2900,2900,2900,2900,3000,2800,2800,2800,2550,2800,2650,3000,3000,3200,3200,3200,3200,3200,3100,3050,3000,2900
"Allston","Boston","MA","Boston","Suffolk",19,,,2850,2800,2800,2750,2700,2675,2750,2600,2650,2900,3000,3000,3000,2950,2950,2800,2800,2800,2800,2800,2800,3000,3000,3100,3100,3050,3050,3050,3000,3000,3000,2991.5,3000,3000,3200,3200,3200,3200,3200,3200,3200,3200,3200,3100,3100,3200,3300,3400,3300,3300,3200,3200,3200,3200,3100,3100,3200,3400,3500,3500,3500,3500,3500,3400,3400,3200,3200,3200,3100,3550,3600,3600,3600,3600,3600,3500,3500,3550,3500,3300,3600
"Fenway","Boston","MA","Boston","Suffolk",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5150,5550,5600,5500,5400,5150,5200,5000,5100,5200,4800,5400
"North Central","Philadelphia","PA","Philadelphia","Philadelphia",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2150,2200,2200,2200,2200,2000,2000,2000,2000,1900,2000,2200,2200,2200,2300,2200,2200,2200,2200,2000,2100,2200,2300,2300,2200,2200,2200,2200,2200,2200,2200,2100,2000,2100,2200,2380,2400,2300,2300,2200,2300,2200,2200,2200,2200,2300,2400,2360
"Mission Hill","Boston","MA","Boston","Suffolk",22,,,,,,,,,,,,3550,3400,3400,3300,3250,3262.5,3350,3300,3350,3300,3400,3400,3450,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3750,3800,3800,3800,3800,3800,3800,3800,3800,3700,3650,3750,3800,4000,4000,4000,3900,3900,3850,3850,3800,3662.5,3600,3600,3800,4000,4100,4100,4000,4000,3995,3900,3800,3775,3600,3500,3750,4000,4200,4200,4200,4000,4000,3999.5,3900,3800,3800,3960,4000
"Alafaya","Orlando","FL","Orlando","Orange",23,,,,,1595,1566,1595,1578,1495,1400,1450,1495,1500,1500,1500,1550,1512.5,1500,1525,1497.5,1500,1550,1525,1500,1512.5,1550,1572.5,1575,1595,1562.5,1595,1625,1595,1595,1595,1595,1595,1595,1595,1595,1600,1650,1595,1600,1600,1600,1585,1595,1595,1600,1600,1650,1700,1650,1700,1697.5,1625,1600,1625,1696.5,1675,1675,1650,1650,1650,1675,1712.5,1710,1675,1600,1700,1675,1764.5,1800,1750,1839,1839,1800,1895,1837,1800,1837,1850
"Union Square","Somerville","MA","Boston","Middlesex",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3350,3350,3500,3500,3500,3500,3300,3300,3000,3000,3000,3050,3400,3200,3362.5,3800,3500,4000,3700,3200,2800,2800,2800,3200,3600,3700,3750,4000,3800,3500,3200,3200,3200
